city,latitude,longitude,tp_winter,tp_spring,tp_summer,tp_autumn,sf_winter,sf_spring,sf_summer,sf_autumn,si10_winter,si10_spring,si10_summer,si10_autumn,t2m_winter,t2m_spring,t2m_summer,t2m_autumn,max_t2m_winter,max_t2m_spring,max_t2m_summer,max_t2m_autumn,min_t2m_winter,min_t2m_spring,min_t2m_summer,min_t2m_autumn
Mariehamn,60.0,20.0,0.0024860539,0.0014973299,0.0018028577,0.0022432755,0.0008094959,0.00025950934,3.1704535e-09,6.6355504e-05,7.8180223,6.1720123,5.391597,7.1940513,274.72803,277.8656,289.66275,282.41577,276.0914,279.53387,291.29794,283.8037,273.24515,276.03888,287.65933,280.93137
Tirana,41.25,19.75,0.0030026252,0.002179067,0.0010141389,0.0036129276,0.00011917494,1.4808111e-05,6.4297736e-09,4.971686e-06,2.1720293,1.893817,1.5833712,1.7805132,280.90265,287.3198,298.6011,290.22504,285.34854,292.66022,305.3096,296.02258,276.95895,281.8321,291.40402,285.26324
Andorra la Vella,42.5,1.5,0.0020292888,0.0026081365,0.002091463,0.0020630462,0.0009106285,0.0005305095,1.6804359e-05,0.00018938736,1.6201065,1.7380297,1.5478609,1.5154383,275.83063,281.45337,292.0299,284.82504,280.05258,286.63983,298.09912,289.9846,272.10898,276.13257,285.66864,280.07986
Yerevan,40.25,44.5,0.0012646707,0.002169456,0.0011130571,0.0015583484,0.0011315133,0.00055645255,3.2827993e-06,0.00044168657,1.2695369,1.4246447,1.6790991,1.3603388,268.3508,281.51627,295.05685,284.20102,273.50082,287.38394,302.625,291.01556,263.84702,275.5896,287.86688,278.30304
Vienna,48.25,16.25,0.0014967222,0.0019744458,0.0026235362,0.0019194497,0.0004324699,0.00010369824,1.00607505e-08,0.00012461012,3.456346,3.3134365,2.9781194,3.0158856,276.05484,284.83188,295.31833,285.3355,278.26385,289.47073,300.55246,289.26263,273.8607,280.0579,290.10345,281.6948
Minsk,54.0,27.5,0.0016815059,0.001509877,0.0025677558,0.0016669702,0.0009429073,0.00015586276,1.4351268e-08,0.00015776236,5.102908,4.127072,3.5815704,4.276381,271.81357,281.44513,292.94897,281.25253,273.66437,285.89984,297.97754,284.60886,269.59656,276.24387,287.12988,277.74515
Brussels,50.75,4.25,0.002711544,0.0022209096,0.002418954,0.0024740414,7.751952e-05,4.3515865e-05,8.2859675e-09,1.9644297e-07,4.8148627,3.9957328,3.2686572,4.106804,278.25717,283.87103,292.60306,285.71732,280.94543,288.0814,297.6862,289.5813,275.60904,279.51505,287.2133,282.08057
Sarajevo,43.75,18.5,0.0023556938,0.0027233926,0.0023586284,0.0034286287,0.0011079806,0.00035820995,4.377012e-08,0.0002606193,1.7169605,1.8842885,1.4825417,1.583832,273.82944,281.59686,293.0102,283.67426,276.94785,286.40106,299.03275,288.51996,270.73007,276.84473,287.05637,279.34018
Sofia,42.75,23.25,0.0013446256,0.0023631842,0.0021827302,0.002266043,0.00088063715,0.00028359864,1.1160545e-08,0.000115044866,1.7138959,1.9305302,1.6767105,1.6736435,273.8587,283.56445,294.89282,285.08008,277.32907,288.58417,300.9118,290.2891,270.6349,278.54614,288.8813,280.46332
Zagreb,45.75,16.0,0.0018890213,0.0024998046,0.002785617,0.0029025835,0.0002778883,5.986625e-05,8.604047e-09,8.6051194e-05,2.0347993,2.2057948,1.7767702,1.9372184,276.4404,285.89844,296.25754,286.40405,279.3317,291.0245,302.0251,290.92645,273.70712,280.90714,290.7033,282.2624
Nicosia,35.25,33.25,0.0023099098,0.001011868,0.00011026056,0.0011561051,1.3446864e-05,2.9311138e-07,0.0,5.5956773e-09,2.234741,2.2976801,2.1506817,1.9723467,285.36917,291.32727,302.688,295.9856,290.69525,297.90646,309.84256,303.0445,281.23047,285.5057,295.89813,290.51105
Prague,50.0,14.5,0.001347698,0.0018474229,0.0028908704,0.0012961132,0.00044729712,0.00015264998,1.9215557e-08,4.3249463e-05,3.5553818,3.0456645,2.63744,2.987262,274.39883,282.85522,293.1475,283.6643,277.03094,287.87955,298.87454,288.05768,271.75952,277.68097,287.25076,279.48517
Copenhagen,55.75,12.5,0.0017275055,0.0014533671,0.0023048483,0.0022448308,0.00024080194,7.507738e-05,2.9898704e-09,5.8210753e-05,5.2200794,4.3525867,3.872211,4.570274,276.08047,281.5786,291.21533,283.77814,278.12103,285.08588,295.25555,286.69916,273.82242,277.61035,286.4386,280.69708
Tallinn,59.5,24.75,0.0026039116,0.0016043294,0.0021533198,0.0028690828,0.0011348684,0.0002803566,2.249613e-08,0.00019537544,5.7532973,4.7083883,4.2448263,5.5141296,272.60913,277.72623,290.4859,281.43958,274.2402,280.41946,293.39938,283.4769,270.71835,274.57782,286.98367,279.20575
Torshavn,62.0,-6.75,0.0070752543,0.00496523,0.0033892915,0.006857153,0.0011436434,0.00063801877,7.970515e-08,0.0002625083,8.565781,7.3865156,5.7102685,7.4831886,277.64407,278.96124,283.60263,281.54398,279.09854,280.40912,284.89963,282.87863,276.00482,277.3003,282.2436,280.06808
Helsinki,60.25,25.0,0.0022844526,0.0014110231,0.0020931838,0.002306071,0.0010898819,0.00028469076,1.0833068e-08,0.00015343793,4.2677865,3.7378776,3.421922,4.0487046,271.5406,278.3558,290.9507,280.2731,273.6967,282.41522,295.57706,283.20154,269.008,273.70596,285.4927,277.05396
Paris,48.75,2.25,0.001986345,0.0020248387,0.0019211756,0.0023122276,2.9958912e-05,6.719729e-06,5.425366e-09,3.406126e-07,4.1241374,3.7410476,3.026741,3.596267,279.45352,285.40976,294.25937,287.28864,281.87534,289.37775,299.27042,290.8503,277.0474,281.31012,289.04498,283.89844
Tbilisi,41.75,44.75,0.00091018714,0.002392086,0.0019925311,0.0020262836,0.000671969,0.00020956763,1.3215734e-08,0.00027514523,1.6742774,1.8977909,1.930947,1.6850983,273.42484,284.5326,296.67245,286.33984,277.95627,290.1261,303.305,291.97736,269.30472,278.9358,290.27048,281.39423
Berlin,52.5,13.5,0.0018467939,0.0016761009,0.0022029735,0.0014425529,0.00023770893,4.371479e-05,1.1324358e-08,1.769935e-05,4.0482225,3.4328518,3.0714934,3.529945,276.03513,283.6659,293.3947,284.48135,278.4391,288.2479,298.69226,288.4157,273.5672,278.9312,287.81537,280.6956
Gibraltar,36.25,-5.25,0.004334311,0.0015777953,0.0002609362,0.0029012975,3.1696761e-06,1.2022724e-08,4.0522635e-10,5.87146e-08,3.7857168,3.7233214,3.3519638,3.2858834,286.61594,291.06534,298.49823,293.8518,291.18634,296.2973,303.50714,298.40424,282.54358,285.96942,293.5914,289.8436
Athens,38.0,23.75,0.0020144416,0.00089720276,0.0002551711,0.0012634414,6.721921e-05,4.978802e-06,6.0653854e-10,2.1756114e-06,2.5597153,2.3705893,2.6012182,2.4853673,282.6845,288.57062,300.27325,291.97824,286.12256,293.61966,305.90292,296.79776,279.43954,283.63904,294.29788,287.56686
Saint Peter Port,49.5,-2.5,0.003909851,0.00224678,0.0016165301,0.0038238491,2.9210902e-05,1.2780865e-06,9.837246e-09,4.252394e-06,8.974659,7.355942,5.7640367,7.9607344,282.29367,283.45068,289.8302,288.009,283.34933,284.32004,290.66605,288.9492,281.23264,282.6114,289.03357,287.13138
Vatican City,42.0,12.5,0.0030479946,0.0019651714,0.0011488398,0.004763965,5.2349435e-05,1.3854173e-05,4.0457326e-09,1.4778923e-05,2.5029228,2.3655663,1.9590222,2.188859,282.31775,287.43683,298.49527,290.96237,286.5852,292.69525,304.4927,296.133,278.60394,282.23505,292.36432,286.40488
Budapest,47.5,19.0,0.0009868534,0.0017144049,0.002065914,0.0015689373,0.00021862077,6.135321e-05,8.025325e-09,4.7248013e-05,2.7660677,2.8090668,2.5242918,2.6122081,274.844,284.83743,295.64352,285.15805,278.34644,290.53583,302.285,290.48984,271.31766,278.9162,288.68143,280.0893
Reykjavik,64.25,-22.0,0.0058387173,0.0039301375,0.0023637866,0.005092352,0.002400287,0.0011101089,3.1637683e-06,0.0003660452,4.6340456,4.2080393,3.2940192,4.24282,273.3695,276.8122,284.4937,278.65887,275.41064,279.04288,286.80807,280.50946,271.17758,274.2945,282.03424,276.7025
Dublin,53.25,-6.25,0.003338314,0.0026005418,0.0027844296,0.0036177821,0.00016941334,3.156512e-05,1.528509e-08,9.417066e-06,5.2111783,4.463599,3.6571765,4.611701,278.9998,281.83066,288.35205,284.28098,281.59445,285.37625,292.2846,287.352,276.3926,278.31317,284.55493,281.19638
Douglas,54.25,-4.5,0.004581567,0.0027325684,0.0025243703,0.0046854364,1.9796269e-05,1.1994742e-05,2.6631835e-08,1.4759686e-07,9.906236,7.77015,6.3786726,8.829562,280.75443,281.8063,287.65247,285.9492,281.78708,282.62222,288.5472,286.90817,279.7257,280.9853,286.76053,285.02945
Rome,42.0,12.5,0.0030479946,0.0019651714,0.0011488398,0.004763965,5.2349435e-05,1.3854173e-05,4.0457326e-09,1.4778923e-05,2.5029228,2.3655663,1.9590222,2.188859,282.31775,287.43683,298.49527,290.96237,286.5852,292.69525,304.4927,296.133,278.60394,282.23505,292.36432,286.40488
Saint Helier,49.25,-2.0,0.0036288588,0.0022224835,0.0017820897,0.0037369276,2.7150607e-05,1.0136864e-06,1.3510942e-08,7.1266813e-06,7.3296666,6.23964,5.0178537,6.599266,281.42288,283.9253,291.00726,287.8321,283.05023,286.02896,293.40283,289.7325,279.72668,281.83337,288.63318,286.00647
Pristina,42.75,21.25,0.001297688,0.0016791925,0.0014619569,0.0019941712,0.0006305442,0.00014030459,4.00098e-09,6.7636414e-05,1.9656022,2.1816375,1.7918332,1.8078921,274.25577,283.64777,295.30133,285.10797,277.54807,288.89395,301.9871,290.45197,271.18585,278.577,288.9563,280.45673
Riga,57.0,24.0,0.0022057877,0.0016303761,0.0024448056,0.0026648233,0.0009293755,0.0001873538,1.1017386e-08,8.330906e-05,5.248162,4.2114654,3.8227067,4.777892,273.45828,279.86926,291.79205,282.03918,275.13855,283.54065,295.8557,284.81525,271.42532,275.67767,287.1766,279.11716
Vaduz,47.25,9.5,0.005719243,0.004598311,0.0065918667,0.004119511,0.0040510288,0.0018069748,5.7220914e-05,0.00076517044,1.4996742,1.4039872,1.2159228,1.2347802,273.83466,280.357,290.9871,282.66385,276.1807,284.31076,295.65848,286.05548,271.4738,276.32593,286.40677,279.6126
Vilnius,54.75,25.25,0.0021322442,0.0017589988,0.0028057706,0.0020431576,0.0011544967,0.00019790123,1.0882465e-08,0.000111263165,4.30769,3.5860023,3.1845744,3.8712602,272.55957,281.263,292.56937,281.4902,274.27942,285.71463,297.63824,284.84552,270.4761,276.11224,286.86575,277.977
Luxembourg,49.5,6.0,0.0030391328,0.0025038945,0.0020634825,0.002841544,0.00020885842,6.505491e-05,1.2292041e-08,1.7840353e-05,4.1698647,3.6746643,3.0423207,3.6213691,276.60892,283.38992,292.9677,284.92688,279.36194,288.05484,298.6618,289.2085,273.80338,278.62262,287.0365,280.98074
Skopje,42.0,21.5,0.0012917708,0.0016304947,0.0012609975,0.0020341915,0.00048313814,0.00013573185,3.9787533e-09,5.0118e-05,1.5869956,1.7700428,1.6251978,1.5195884,274.4385,283.85474,295.54718,285.54913,278.03873,289.2114,302.3506,290.9904,270.93835,278.47983,288.69064,280.5096
Valletta,36.0,14.5,0.0023704541,0.0006284796,0.00024728887,0.001760081,6.455411e-07,4.9214983e-09,1.7999277e-09,1.4776982e-08,6.84783,6.015484,4.1168756,5.4256268,288.56146,290.13446,298.9562,295.94476,289.329,290.87863,299.80725,296.7024,287.78964,289.39883,298.1668,295.16382
Chisinau,47.0,28.75,0.001088567,0.0016694382,0.0018276352,0.0012806028,0.0005804998,0.00017341155,9.0387e-09,0.000111540736,3.0927672,3.0730562,2.7408733,2.9717174,273.29938,284.47064,296.8031,284.82404,275.90555,289.06833,302.31653,289.1856,270.46594,279.73544,290.9254,280.55585
Monaco,43.75,7.5,0.0028732822,0.0018857099,0.0011315312,0.0036373336,0.00039434907,0.000101119826,5.023344e-09,5.7953323e-05,1.6994363,1.682242,1.3511989,1.5275227,281.3138,286.054,296.01477,289.49603,284.97543,289.64096,299.52936,293.16092,278.63492,282.39297,291.95523,286.49643
Podgorica,42.5,19.25,0.005568453,0.004042347,0.0016434916,0.0066466583,0.0011141413,0.00033695291,7.211657e-08,0.00013174463,1.8895501,1.7672924,1.4835341,1.6521189,276.59134,283.84375,295.76782,286.46277,279.73575,288.31104,301.51892,291.17706,273.5038,279.09375,289.83408,282.02618
Amsterdam,52.25,5.0,0.0029284405,0.0023160153,0.0025103628,0.0030909167,7.561739e-05,1.9324081e-05,1.5787972e-09,1.069425e-06,5.520792,4.566505,3.6643887,4.6173983,277.8985,283.11163,291.354,285.06586,280.3382,287.22784,295.88104,288.69403,275.346,278.73602,286.27505,281.54462
Oslo,60.0,10.75,0.0032355585,0.0022982527,0.0031877651,0.0034166365,0.002014077,0.00067264086,7.2471513e-09,0.00030730723,2.6796732,2.628204,2.3884976,2.658583,271.2975,278.32233,289.47137,279.73444,273.4753,282.5759,294.26135,282.78647,268.86993,273.64612,284.28622,276.66748
Warsaw,52.25,21.0,0.001787752,0.0016225383,0.0022573178,0.0013971222,0.00054928486,7.335074e-05,9.642735e-09,5.6303477e-05,3.7566073,3.117474,2.8666148,3.2779946,274.8359,283.08054,293.5998,283.2032,277.0526,287.81296,299.0196,287.11038,272.4779,277.8825,287.71207,279.28485
Lisbon,38.75,-9.25,0.0023397212,0.0012796292,0.00022325548,0.0016288484,1.966729e-07,5.1296034e-10,0.0,0.0,4.109289,4.3753843,5.018939,3.8513103,285.67386,289.82806,295.79193,292.38248,289.59955,294.76398,301.61798,297.1164,282.34277,285.4802,291.22144,288.81876
Bucharest,44.5,26.0,0.001665764,0.0019582228,0.0018470952,0.0016055269,0.00079285406,8.200753e-05,5.8774368e-09,9.3761846e-05,2.6229334,2.7226882,2.2596817,2.4354692,274.76367,286.12473,297.97418,286.5971,278.32028,292.03937,305.01035,292.5424,271.3271,280.13373,290.83682,281.0586
Moscow,55.75,37.5,0.0016536056,0.0013570699,0.0023886298,0.0020694525,0.001290909,0.000248762,8.689932e-08,0.00029886694,3.891136,3.4681067,3.0286949,3.7583652,268.67206,280.50308,292.78525,279.69272,270.86853,284.84894,297.59735,282.65363,266.06134,275.41733,287.26657,276.44058
San Marino,44.0,12.5,0.001969847,0.001748213,0.0014457817,0.0026261876,0.00018975488,4.6925565e-05,3.0424094e-09,5.6191668e-05,2.5085297,2.5962408,2.2079852,2.3383117,278.77634,285.7709,297.03146,288.29413,281.8314,290.05597,301.87863,292.273,275.96393,281.42096,291.96167,284.6971
Belgrade,44.75,20.5,0.0012879404,0.0018608604,0.0021744887,0.0021118536,0.00026516605,7.891808e-05,8.6830205e-09,5.4969663e-05,2.7166302,2.789582,2.3565178,2.670652,276.72546,286.65363,298.30707,287.52032,279.8602,291.7521,304.4787,292.437,273.69363,281.5192,292.138,283.1193
Bratislava,48.25,17.0,0.0014858678,0.001765446,0.0022770376,0.0018857198,0.0003187043,6.480661e-05,1.4048854e-08,5.6348974e-05,3.3789604,3.353711,2.9882886,3.0919325,275.34586,284.59555,295.19366,285.0254,277.59192,289.2777,300.60184,289.0341,273.1084,279.73047,289.7247,281.221
Ljubljana,46.0,14.5,0.003443239,0.0035025168,0.004214198,0.004874559,0.0009666384,0.00021861203,2.086688e-06,0.00025965206,1.9172229,1.9682305,1.615195,1.7964783,274.41702,282.52554,292.9405,284.086,277.62927,287.6446,298.7946,288.89478,271.26794,277.4895,287.28586,279.79974
Madrid,40.5,-3.75,0.0014657467,0.0012814256,0.0006510451,0.0015250153,0.00022163936,4.4131528e-05,1.7944112e-08,4.8207472e-05,2.0550394,2.4419215,2.2869854,2.0346818,279.22067,286.04938,297.7345,288.64026,284.405,292.5185,305.31073,294.84552,274.6976,279.4824,289.67505,282.91147
Stockholm,59.25,18.0,0.002012486,0.0012552118,0.0017837577,0.002050846,0.00079873693,0.0002121833,3.771526e-09,4.111735e-05,4.703306,3.9714894,3.4566798,4.2751465,273.7294,279.7273,290.98563,281.62698,275.83755,283.5074,295.21317,284.327,271.2804,275.51117,285.94437,278.71634
Bern,47.0,7.5,0.0038131766,0.0035440263,0.0044014887,0.0034599125,0.0015948598,0.0008116391,0.00013128272,0.00046619182,1.9583507,1.8041614,1.5456038,1.6717882,274.79724,281.62656,291.42316,283.4958,277.43277,286.06723,296.80426,287.4377,272.3551,277.4055,286.14935,280.0572
Ankara,40.0,32.75,0.0013607392,0.0017115673,0.0006356935,0.0009673737,0.00048378741,0.00018737745,2.6663198e-09,8.676808e-05,2.0072558,2.2784765,2.472688,2.085753,273.82043,283.27582,295.36127,285.8289,278.23807,289.51422,303.2526,293.0167,269.71384,276.78058,287.07162,279.23096
Kyiv,50.5,30.5,0.0013582769,0.0017192706,0.0021180534,0.0014856232,0.0007332135,0.00011644156,6.12527e-09,0.00010028324,3.892727,3.4679332,3.0200934,3.584146,272.14987,283.56775,295.48465,282.83612,274.2287,287.89407,300.45657,286.48553,269.75348,278.8383,289.97528,279.11734
London,51.5,-0.0,0.0017851103,0.0016124469,0.0016359689,0.0021217894,6.40213e-05,3.4578825e-05,2.5257203e-09,1.20514305e-05,4.945578,4.4370093,3.6245484,4.3432426,278.40192,282.88464,290.90063,285.10345,281.3442,287.32776,296.16736,289.05548,275.33823,278.41006,285.59027,281.22412
North Nicosia,35.25,33.25,0.0023099098,0.001011868,0.00011026056,0.0011561051,1.3446864e-05,2.9311138e-07,0.0,5.5956773e-09,2.234741,2.2976801,2.1506817,1.9723467,285.36917,291.32727,302.688,295.9856,290.69525,297.90646,309.84256,303.0445,281.23047,285.5057,295.89813,290.51105
